uygulama,domain,route,kaynak,faz,onerilen_islem,inceleme_duzeyi,durum
frontend,paketjet.com,/tasima-kurallari,frontend/src/app/(public)/tasima-kurallari/page.tsx,F11,"Koru; ortak içerik şablonu, gerçek metin/SEO/404 doğrulaması",Kaynak + build + HTTP fixture: /tasima-kurallari,Korundu — yerel HTTP 200
frontend,paketjet.com,/admin/audit,frontend/src/app/admin/audit/page.tsx,F04/F10,İşlev eşliği çıkar; eksik işlevi ayrı admine taşı; sonra güvenli yönlendir,Kaynak + build + HTTP fixture: /admin/audit,Korundu — yerel HTTP 200
frontend,paketjet.com,/admin/bookings,frontend/src/app/admin/bookings/page.tsx,F04/F10,İşlev eşliği çıkar; eksik işlevi ayrı admine taşı; sonra güvenli yönlendir,Kaynak + build + HTTP fixture: /admin/bookings,Korundu — yerel HTTP 200
frontend,paketjet.com,/admin/carriers,frontend/src/app/admin/carriers/page.tsx,F04/F10,İşlev eşliği çıkar; eksik işlevi ayrı admine taşı; sonra güvenli yönlendir,Kaynak + build + HTTP fixture: /admin/carriers,Korundu — yerel HTTP 200
frontend,paketjet.com,/admin/cuzdan,frontend/src/app/admin/cuzdan/page.tsx,F04/F10,İşlev eşliği çıkar; eksik işlevi ayrı admine taşı; sonra güvenli yönlendir,Kaynak + build + HTTP fixture: /admin/cuzdan,Korundu — yerel HTTP 200
frontend,paketjet.com,/admin/depolama,frontend/src/app/admin/depolama/page.tsx,F04/F10,İşlev eşliği çıkar; eksik işlevi ayrı admine taşı; sonra güvenli yönlendir,Kaynak + build + HTTP fixture: /admin/depolama,Korundu — yerel HTTP 200
frontend,paketjet.com,/admin/destek/[id],frontend/src/app/admin/destek/[id]/page.tsx,F04/F10,İşlev eşliği çıkar; eksik işlevi ayrı admine taşı; sonra güvenli yönlendir,Kaynak + build + HTTP fixture: /admin/destek/43f5a0e3-ebe7-43ee-a25b-6c5979f52692,Korundu — yerel HTTP 200
frontend,paketjet.com,/admin/destek,frontend/src/app/admin/destek/page.tsx,F04/F10,İşlev eşliği çıkar; eksik işlevi ayrı admine taşı; sonra güvenli yönlendir,Kaynak + build + HTTP fixture: /admin/destek,Korundu — yerel HTTP 200
frontend,paketjet.com,/admin/destek/sss,frontend/src/app/admin/destek/sss/page.tsx,F04/F10,İşlev eşliği çıkar; eksik işlevi ayrı admine taşı; sonra güvenli yönlendir,Kaynak + build + HTTP fixture: /admin/destek/sss,Korundu — yerel HTTP 200
frontend,paketjet.com,/admin/email-sablonlari,frontend/src/app/admin/email-sablonlari/page.tsx,F04/F10,İşlev eşliği çıkar; eksik işlevi ayrı admine taşı; sonra güvenli yönlendir,Kaynak + build + HTTP fixture: /admin/email-sablonlari,Korundu — yerel HTTP 200
frontend,paketjet.com,/admin/gelir,frontend/src/app/admin/gelir/page.tsx,F04/F10,İşlev eşliği çıkar; eksik işlevi ayrı admine taşı; sonra güvenli yönlendir,Kaynak + build + HTTP fixture: /admin/gelir,Korundu — yerel HTTP 200
frontend,paketjet.com,/admin/ilanlar,frontend/src/app/admin/ilanlar/page.tsx,F04/F10,İşlev eşliği çıkar; eksik işlevi ayrı admine taşı; sonra güvenli yönlendir,Kaynak + build + HTTP fixture: /admin/ilanlar,Korundu — yerel HTTP 200
frontend,paketjet.com,/admin/iletisim,frontend/src/app/admin/iletisim/page.tsx,F04/F10,İşlev eşliği çıkar; eksik işlevi ayrı admine taşı; sonra güvenli yönlendir,Kaynak + build + HTTP fixture: /admin/iletisim,Korundu — yerel HTTP 200
frontend,paketjet.com,/admin,frontend/src/app/admin/page.tsx,F04/F10,İşlev eşliği çıkar; eksik işlevi ayrı admine taşı; sonra güvenli yönlendir,Kaynak + build + HTTP fixture: /admin,Korundu — yerel HTTP 200
frontend,paketjet.com,/admin/raporlar,frontend/src/app/admin/raporlar/page.tsx,F04/F10,İşlev eşliği çıkar; eksik işlevi ayrı admine taşı; sonra güvenli yönlendir,Kaynak + build + HTTP fixture: /admin/raporlar,Korundu — yerel HTTP 200
frontend,paketjet.com,/admin/sayfalar/[id],frontend/src/app/admin/sayfalar/[id]/page.tsx,F04/F10,İşlev eşliği çıkar; eksik işlevi ayrı admine taşı; sonra güvenli yönlendir,Kaynak + build + HTTP fixture: /admin/sayfalar/55555555-5555-4555-8555-555555555551,Korundu — yerel HTTP 200
frontend,paketjet.com,/admin/sayfalar,frontend/src/app/admin/sayfalar/page.tsx,F04/F10,İşlev eşliği çıkar; eksik işlevi ayrı admine taşı; sonra güvenli yönlendir,Kaynak + build + HTTP fixture: /admin/sayfalar,Korundu — yerel HTTP 200
frontend,paketjet.com,/admin/sayfalar/yeni,frontend/src/app/admin/sayfalar/yeni/page.tsx,F04/F10,İşlev eşliği çıkar; eksik işlevi ayrı admine taşı; sonra güvenli yönlendir,Kaynak + build + HTTP fixture: /admin/sayfalar/yeni,Korundu — yerel HTTP 200
frontend,paketjet.com,/admin/seo,frontend/src/app/admin/seo/page.tsx,F04/F10,İşlev eşliği çıkar; eksik işlevi ayrı admine taşı; sonra güvenli yönlendir,Kaynak + build + HTTP fixture: /admin/seo,Korundu — yerel HTTP 200
frontend,paketjet.com,/admin/telegram,frontend/src/app/admin/telegram/page.tsx,F04/F10,İşlev eşliği çıkar; eksik işlevi ayrı admine taşı; sonra güvenli yönlendir,Kaynak + build + HTTP fixture: /admin/telegram,Korundu — yerel HTTP 200
frontend,paketjet.com,/admin/users,frontend/src/app/admin/users/page.tsx,F04/F10,İşlev eşliği çıkar; eksik işlevi ayrı admine taşı; sonra güvenli yönlendir,Kaynak + build + HTTP fixture: /admin/users,Korundu — yerel HTTP 200
frontend,paketjet.com,/giris,frontend/src/app/giris/page.tsx,F01/F08,Koru; ortak form ve oturum/işe dönüş akışını düzelt,Kaynak + build + HTTP fixture: /giris,Korundu — yerel HTTP 200
frontend,paketjet.com,/panel/abonelik,frontend/src/app/panel/abonelik/page.tsx,F04/F09,Geçiş/redirect davranışını doğrula; eski model UI emekli,Kaynak + build + HTTP fixture: /panel/abonelik,Yönlendirme — yerel HTTP 307
frontend,paketjet.com,/panel/bildirimler,frontend/src/app/panel/bildirimler/page.tsx,F09,Koru; ortak panel tasarımı ve gerçek durumlarla yenile,Kaynak + build + HTTP fixture: /panel/bildirimler,Yönlendirme — yerel HTTP 307
frontend,paketjet.com,/panel/cuzdan/odeme-sonuc,frontend/src/app/panel/cuzdan/odeme-sonuc/page.tsx,F04/F09,Geçiş/redirect davranışını doğrula; eski model UI emekli,Kaynak + build + HTTP fixture: /panel/cuzdan/odeme-sonuc,Yönlendirme — yerel HTTP 307
frontend,paketjet.com,/panel/cuzdan,frontend/src/app/panel/cuzdan/page.tsx,F04/F09,Geçiş/redirect davranışını doğrula; eski model UI emekli,Kaynak + build + HTTP fixture: /panel/cuzdan,Yönlendirme — yerel HTTP 307
frontend,paketjet.com,/panel/ilan-alma-hakki/odeme-sonuc,frontend/src/app/panel/ilan-alma-hakki/odeme-sonuc/page.tsx,F09,Koru; ortak panel tasarımı ve gerçek durumlarla yenile,Kaynak + build + HTTP fixture: /panel/ilan-alma-hakki/odeme-sonuc,Yönlendirme — yerel HTTP 307
frontend,paketjet.com,/panel/ilan-alma-hakki,frontend/src/app/panel/ilan-alma-hakki/page.tsx,F09,Koru; ortak panel tasarımı ve gerçek durumlarla yenile,Kaynak + build + HTTP fixture: /panel/ilan-alma-hakki,Yönlendirme — yerel HTTP 307
frontend,paketjet.com,/panel/ilanlarim,frontend/src/app/panel/ilanlarim/page.tsx,F09,Koru; ortak panel tasarımı ve gerçek durumlarla yenile,Kaynak + build + HTTP fixture: /panel/ilanlarim,Yönlendirme — yerel HTTP 307
frontend,paketjet.com,/panel/musteri/odeme-sonuc,frontend/src/app/panel/musteri/odeme-sonuc/page.tsx,F04/F09,Geçiş/redirect davranışını doğrula; eski model UI emekli,Kaynak + build + HTTP fixture: /panel/musteri/odeme-sonuc,Yönlendirme — yerel HTTP 307
frontend,paketjet.com,/panel/musteri,frontend/src/app/panel/musteri/page.tsx,F04/F09,Geçiş/redirect davranışını doğrula; eski model UI emekli,Kaynak + build + HTTP fixture: /panel/musteri,Yönlendirme — yerel HTTP 307
frontend,paketjet.com,/panel,frontend/src/app/panel/page.tsx,F09,Koru; ortak panel tasarımı ve gerçek durumlarla yenile,Kaynak + build + HTTP fixture: /panel,Yönlendirme — yerel HTTP 307
frontend,paketjet.com,/panel/profil,frontend/src/app/panel/profil/page.tsx,F09,Koru; ortak panel tasarımı ve gerçek durumlarla yenile,Kaynak + build + HTTP fixture: /panel/profil,Yönlendirme — yerel HTTP 307
frontend,paketjet.com,/panel/satin-aldiklarim,frontend/src/app/panel/satin-aldiklarim/page.tsx,F09,Koru; ortak panel tasarımı ve gerçek durumlarla yenile,Kaynak + build + HTTP fixture: /panel/satin-aldiklarim,Yönlendirme — yerel HTTP 307
frontend,paketjet.com,/panel/tasima-kurallari,frontend/src/app/panel/tasima-kurallari/page.tsx,F09,Koru; ortak panel tasarımı ve gerçek durumlarla yenile,Kaynak + build + HTTP fixture: /panel/tasima-kurallari,Yönlendirme — yerel HTTP 307
frontend,paketjet.com,/panel/tasiyici/ilanlar/[id]/duzenle,frontend/src/app/panel/tasiyici/ilanlar/[id]/duzenle/page.tsx,F08,İlanlarım üzerinden erişim; yeni hedefe uyumlulukla taşı,Kaynak + build + HTTP fixture: /panel/tasiyici/ilanlar/43f5a0e3-ebe7-43ee-a25b-6c5979f52692/duzenle,Yönlendirme — yerel HTTP 307
frontend,paketjet.com,/panel/tasiyici,frontend/src/app/panel/tasiyici/page.tsx,F04/F09,Geçiş/redirect davranışını doğrula; eski model UI emekli,Kaynak + build + HTTP fixture: /panel/tasiyici,Yönlendirme — yerel HTTP 307
frontend,paketjet.com,/uye-ol,frontend/src/app/uye-ol/page.tsx,F01/F08,Koru; ortak form ve oturum/işe dönüş akışını düzelt,Kaynak + build + HTTP fixture: /uye-ol,Korundu — yerel HTTP 200
admin_panel,panel.paketjet.com,/admin/audit,admin_panel/src/app/(main)/admin/(admin)/audit/page.tsx,F10,Koru; ortak liste/detay/form tasarımı ve model tutarlılığı,Kaynak + build + HTTP fixture: /admin/audit,Yönlendirme — yerel HTTP 307
admin_panel,panel.paketjet.com,/admin/carriers/[id],admin_panel/src/app/(main)/admin/(admin)/carriers/[id]/page.tsx,F10,Koru; ortak liste/detay/form tasarımı ve model tutarlılığı,Kaynak + build + HTTP fixture: /admin/carriers/38819127-bb12-4e58-ac1f-490ee3704947,Yönlendirme — yerel HTTP 307
admin_panel,panel.paketjet.com,/admin/carriers,admin_panel/src/app/(main)/admin/(admin)/carriers/page.tsx,F10,Koru; ortak liste/detay/form tasarımı ve model tutarlılığı,Kaynak + build + HTTP fixture: /admin/carriers,Yönlendirme — yerel HTTP 307
admin_panel,panel.paketjet.com,/admin/categories/[id],admin_panel/src/app/(main)/admin/(admin)/categories/[id]/page.tsx,F10,Koru; ortak liste/detay/form tasarımı ve model tutarlılığı,Kaynak + build + HTTP fixture: /admin/categories/027da690-4969-434f-8a82-c31f2216c9b3,Yönlendirme — yerel HTTP 307
admin_panel,panel.paketjet.com,/admin/categories,admin_panel/src/app/(main)/admin/(admin)/categories/page.tsx,F10,Koru; ortak liste/detay/form tasarımı ve model tutarlılığı,Kaynak + build + HTTP fixture: /admin/categories,Yönlendirme — yerel HTTP 307
admin_panel,panel.paketjet.com,/admin/contacts,admin_panel/src/app/(main)/admin/(admin)/contacts/page.tsx,F10,Koru; ortak liste/detay/form tasarımı ve model tutarlılığı,Kaynak + build + HTTP fixture: /admin/contacts,Yönlendirme — yerel HTTP 307
admin_panel,panel.paketjet.com,/admin/disputes,admin_panel/src/app/(main)/admin/(admin)/disputes/page.tsx,F04/F10,Korunacak ihtilaf işlevini lead modeline uyarla,Kaynak + build + HTTP fixture: /admin/disputes,Yönlendirme — yerel HTTP 307
admin_panel,panel.paketjet.com,/admin/email-templates/[id],admin_panel/src/app/(main)/admin/(admin)/email-templates/[id]/page.tsx,F10,Koru; ortak liste/detay/form tasarımı ve model tutarlılığı,Kaynak + build + HTTP fixture: /admin/email-templates/8c784b01-abe0-11f1-8744-ea58d0a1861d,Yönlendirme — yerel HTTP 307
admin_panel,panel.paketjet.com,/admin/email-templates,admin_panel/src/app/(main)/admin/(admin)/email-templates/page.tsx,F10,Koru; ortak liste/detay/form tasarımı ve model tutarlılığı,Kaynak + build + HTTP fixture: /admin/email-templates,Yönlendirme — yerel HTTP 307
admin_panel,panel.paketjet.com,/admin/ilan-purchases,admin_panel/src/app/(main)/admin/(admin)/ilan-purchases/page.tsx,F10,Koru; ortak liste/detay/form tasarımı ve model tutarlılığı,Kaynak + build + HTTP fixture: /admin/ilan-purchases,Yönlendirme — yerel HTTP 307
admin_panel,panel.paketjet.com,/admin/ilanlar/[id],admin_panel/src/app/(main)/admin/(admin)/ilanlar/[id]/page.tsx,F10,Koru; ortak liste/detay/form tasarımı ve model tutarlılığı,Kaynak + build + HTTP fixture: /admin/ilanlar/43f5a0e3-ebe7-43ee-a25b-6c5979f52692,Yönlendirme — yerel HTTP 307
admin_panel,panel.paketjet.com,/admin/ilanlar,admin_panel/src/app/(main)/admin/(admin)/ilanlar/page.tsx,F10,Koru; ortak liste/detay/form tasarımı ve model tutarlılığı,Kaynak + build + HTTP fixture: /admin/ilanlar,Yönlendirme — yerel HTTP 307
admin_panel,panel.paketjet.com,/admin,admin_panel/src/app/(main)/admin/(admin)/page.tsx,F00/F10/F12,Build rota sahipliği/redirect/404/yetki davranışını doğrula; tek giriş hedefi,Kaynak + build + HTTP fixture: /admin,Yönlendirme — yerel HTTP 307
admin_panel,panel.paketjet.com,/admin/payment-settings,admin_panel/src/app/(main)/admin/(admin)/payment-settings/page.tsx,F10,Koru; ortak liste/detay/form tasarımı ve model tutarlılığı,Kaynak + build + HTTP fixture: /admin/payment-settings,Yönlendirme — yerel HTTP 307
admin_panel,panel.paketjet.com,/admin/pricing,admin_panel/src/app/(main)/admin/(admin)/pricing/page.tsx,F10,Koru; ortak liste/detay/form tasarımı ve model tutarlılığı,Kaynak + build + HTTP fixture: /admin/pricing,Yönlendirme — yerel HTTP 307
admin_panel,panel.paketjet.com,/admin/reports,admin_panel/src/app/(main)/admin/(admin)/reports/page.tsx,F10,Koru; ortak liste/detay/form tasarımı ve model tutarlılığı,Kaynak + build + HTTP fixture: /admin/reports,Yönlendirme — yerel HTTP 307
admin_panel,panel.paketjet.com,/admin/site-settings/[id],admin_panel/src/app/(main)/admin/(admin)/site-settings/[id]/page.tsx,F10,Koru; ortak liste/detay/form tasarımı ve model tutarlılığı,Kaynak + build + HTTP fixture: /admin/site-settings/admin_path,Yönlendirme — yerel HTTP 307
admin_panel,panel.paketjet.com,/admin/site-settings,admin_panel/src/app/(main)/admin/(admin)/site-settings/page.tsx,F10,Koru; ortak liste/detay/form tasarımı ve model tutarlılığı,Kaynak + build + HTTP fixture: /admin/site-settings,Yönlendirme — yerel HTTP 307
admin_panel,panel.paketjet.com,/admin/storage/[id],admin_panel/src/app/(main)/admin/(admin)/storage/[id]/page.tsx,F10,Koru; ortak liste/detay/form tasarımı ve model tutarlılığı,Kaynak + build + HTTP fixture: /admin/storage/00009400-0000-4000-8000-000000000001,Yönlendirme — yerel HTTP 307
admin_panel,panel.paketjet.com,/admin/storage,admin_panel/src/app/(main)/admin/(admin)/storage/page.tsx,F10,Koru; ortak liste/detay/form tasarımı ve model tutarlılığı,Kaynak + build + HTTP fixture: /admin/storage,Yönlendirme — yerel HTTP 307
admin_panel,panel.paketjet.com,/admin/telegram,admin_panel/src/app/(main)/admin/(admin)/telegram/page.tsx,F10,Koru; ortak liste/detay/form tasarımı ve model tutarlılığı,Kaynak + build + HTTP fixture: /admin/telegram,Yönlendirme — yerel HTTP 307
admin_panel,panel.paketjet.com,/admin/theme,admin_panel/src/app/(main)/admin/(admin)/theme/page.tsx,F10,Koru; ortak liste/detay/form tasarımı ve model tutarlılığı,Kaynak + build + HTTP fixture: /admin/theme,Yönlendirme — yerel HTTP 307
admin_panel,panel.paketjet.com,/admin/users/[id],admin_panel/src/app/(main)/admin/(admin)/users/[id]/page.tsx,F10,Koru; ortak liste/detay/form tasarımı ve model tutarlılığı,Kaynak + build + HTTP fixture: /admin/users/2c2cbea4-6cde-4aef-a997-e03e9ff8b580,Yönlendirme — yerel HTTP 307
admin_panel,panel.paketjet.com,/admin/users,admin_panel/src/app/(main)/admin/(admin)/users/page.tsx,F10,Koru; ortak liste/detay/form tasarımı ve model tutarlılığı,Kaynak + build + HTTP fixture: /admin/users,Yönlendirme — yerel HTTP 307
admin_panel,panel.paketjet.com,/admin/wallet,admin_panel/src/app/(main)/admin/(admin)/wallet/page.tsx,F03/F10,TL arşivi ve gerçek kontör yönetimini ayır,Kaynak + build + HTTP fixture: /admin/wallet,Yönlendirme — yerel HTTP 307
admin_panel,panel.paketjet.com,/admin/dashboard/[...not-found],admin_panel/src/app/(main)/admin/dashboard/[...not-found]/page.tsx,F00/F10/F12,Build rota sahipliği/redirect/404/yetki davranışını doğrula; tek giriş hedefi,Kaynak + build + HTTP fixture: /admin/dashboard/renewal-missing-check,Yönlendirme — yerel HTTP 307
admin_panel,panel.paketjet.com,/admin/dashboard/coming-soon,admin_panel/src/app/(main)/admin/dashboard/coming-soon/page.tsx,F00/F10/F12,Build rota sahipliği/redirect/404/yetki davranışını doğrula; tek giriş hedefi,Kaynak + build + HTTP fixture: /admin/dashboard/coming-soon,Yönlendirme — yerel HTTP 307
admin_panel,panel.paketjet.com,/admin/dashboard,admin_panel/src/app/(main)/admin/dashboard/page.tsx,F00/F10/F12,Build rota sahipliği/redirect/404/yetki davranışını doğrula; tek giriş hedefi,Kaynak + build + HTTP fixture: /admin/dashboard,Yönlendirme — yerel HTTP 307
admin_panel,panel.paketjet.com,/admin,admin_panel/src/app/(main)/admin/page.tsx,F00/F10/F12,Build rota sahipliği/redirect/404/yetki davranışını doğrula; tek giriş hedefi,Kaynak + build + HTTP fixture: /admin,Yönlendirme — yerel HTTP 307
admin_panel,panel.paketjet.com,/auth/login,admin_panel/src/app/(main)/auth/login/page.tsx,F01/F05/F10,Demo giriş kaldır; ortak marka ve güvenli gerçek giriş,Kaynak + build + HTTP fixture: /auth/login,Korundu — yerel HTTP 200
admin_panel,panel.paketjet.com,/auth/register,admin_panel/src/app/(main)/auth/register/page.tsx,F01/F10,Rol/kullanım kanıtıyla emekli et veya yetkili akışa bağla; public admin üyeliği açma,Kaynak + build + canlı HTTP: https://paketjet.com/kayit,Yönlendirildi — canlı HTTP 307
admin_panel,panel.paketjet.com,/auth/seller/login,admin_panel/src/app/(main)/auth/seller/login/page.tsx,F01/F10,Rol/kullanım kanıtıyla emekli et veya yetkili akışa bağla; public admin üyeliği açma,Kaynak + build + canlı HTTP: https://paketjet.com/giris,Yönlendirildi — canlı HTTP 307
admin_panel,panel.paketjet.com,/auth/seller/register,admin_panel/src/app/(main)/auth/seller/register/page.tsx,F01/F10,Rol/kullanım kanıtıyla emekli et veya yetkili akışa bağla; public admin üyeliği açma,Kaynak + build + canlı HTTP: https://paketjet.com/kayit,Yönlendirildi — canlı HTTP 307
admin_panel,panel.paketjet.com,/,admin_panel/src/app/(main)/page.tsx,F00/F10/F12,Build rota sahipliği/redirect/404/yetki davranışını doğrula; tek giriş hedefi,Kaynak + build + HTTP fixture: /,Yönlendirme — yerel HTTP 307
admin_panel,panel.paketjet.com,/unauthorized,admin_panel/src/app/(main)/unauthorized/page.tsx,F00/F10/F12,Build rota sahipliği/redirect/404/yetki davranışını doğrula; tek giriş hedefi,Kaynak + build + HTTP fixture: /unauthorized,Korundu — yerel HTTP 200
